Name,Year,Month,Day,Hour,Lat,Lon,Intensity_MSLP,Intensity_WS,Intensity_Cat,right_lat,right_lon,left_lat,left_lon
ALLEN,1980,08,01,00,10.8,-34.3,1010.0,30.0,TD,-34.01,5.38,-34.35,16.25
ALLEN,1980,08,01,06,10.7,-36.4,1009.0,30.0,TD,-36.27,5.12,-36.27,16.28
ALLEN,1980,08,01,12,10.7,-38.6,1008.0,30.0,TD,-38.46,4.95,-38.46,16.45
ALLEN,1980,08,01,18,10.7,-40.7,1006.0,30.0,TD,-41.02,4.77,-40.08,16.55
ALLEN,1980,08,02,00,11.0,-42.8,1005.0,35.0,TD,-43.27,4.88,-42.01,17.0
ALLEN,1980,08,02,06,11.4,-44.8,1000.0,45.0,TS,-45.35,5.08,-43.91,17.57
ALLEN,1980,08,02,12,11.9,-46.9,995.0,55.0,TS,-47.24,5.32,-46.19,18.36
ALLEN,1980,08,02,18,12.3,-49.1,990.0,60.0,TS,-49.02,5.44,-48.78,19.13
ALLEN,1980,08,03,00,12.4,-51.4,985.0,65.0,TS,-51.42,5.19,-50.94,19.54
ALLEN,1980,08,03,06,12.6,-53.6,980.0,70.0,TS,-53.61,5.02,-53.11,20.09
ALLEN,1980,08,03,12,12.8,-55.6,975.0,80.0,Cat1,-55.47,4.85,-55.22,20.7
ALLEN,1980,08,03,18,12.9,-57.5,965.0,95.0,Cat1,-57.8,4.51,-56.66,21.03
ALLEN,1980,08,04,00,13.3,-59.1,950.0,110.0,Cat2,-59.15,4.53,-58.47,21.9
ALLEN,1980,08,04,06,13.6,-61.0,948.0,115.0,Cat3,-61.09,4.31,-60.28,22.66
ALLEN,1980,08,04,12,14.0,-63.0,945.0,125.0,Cat3,-63.05,4.08,-62.26,23.66
ALLEN,1980,08,04,18,14.4,-64.9,930.0,130.0,Cat4,-64.92,3.78,-64.14,24.72
ALLEN,1980,08,05,00,14.8,-66.7,911.0,140.0,Cat4,-66.8,3.39,-65.79,25.75
ALLEN,1980,08,05,06,15.4,-68.6,916.0,145.0,Cat4,-68.54,3.07,-67.77,27.31
ALLEN,1980,08,05,12,15.9,-70.5,932.0,155.0,Cat4,-70.45,2.42,-69.57,28.81
ALLEN,1980,08,05,18,16.5,-72.3,940.0,150.0,Cat4,-72.81,1.56,-70.76,29.87
ALLEN,1980,08,06,00,17.8,-73.8,945.0,140.0,Cat4,-73.46,1.85,-72.95,33.29
ALLEN,1980,08,06,06,18.3,-75.9,955.0,115.0,Cat3,-75.6,-0.0,-74.84,35.67
