Year,Name,Cat
1980,ALLEN,Cat5
1980,BONNIE,Cat1
1980,CHARLEY,TS
1980,GEORGES,TS
1980,EARL,TS
1980,DANIELLE,TS
1980,FRANCES,Cat2
1980,HERMINE,TS
1980,IVAN,Cat1
1980,JEANNE,Cat1
1980,KARL,Cat1
1981,ARLENE,TS
1981,BRET,TS
1981,CINDY,TS
1981,DENNIS,TS
1981,EMILY,Cat1
1981,FLOYD,Cat2
1981,GERT,Cat1
1981,HARVEY,Cat3
1981,IRENE,Cat2
1981,JOSE,TS
1981,KATRINA,Cat1
1982,ALBERTO,Cat1
1982,BERYL,TS
1982,CHRIS,TS
1982,DEBBY,Cat3
1982,ERNESTO,TS
1983,ALICIA,Cat2
1983,BARRY,TS
1983,CHANTAL,TS
1983,DEAN,TS
1984,ARTHUR,TS
1984,BERTHA,TD
1984,CESAR,TS
1984,DIANA,Cat3
1984,EDOUARD,TS
1984,FRAN,TS
1984,GUSTAV,TS
1984,HORTENSE,TS
1984,ISIDORE,TS
1984,JOSEPHINE,Cat1
1984,KLAUS,Cat1
1984,LILI,TS
1985,ANA,TS
1985,BOB,TS
1985,CLAUDETTE,Cat1
1985,DANNY,Cat1
1985,ELENA,Cat2
1985,FABIAN,TS
1985,GLORIA,Cat3
1985,HENRI,TS
1985,ISABEL,TS
1985,JUAN,Cat1
1985,KATE,Cat2
1986,ANDREW,TS
1986,BONNIE,Cat1
1986,CHARLEY,TS
1986,DANIELLE,TS
1986,EARL,Cat1
1986,FRANCES,Cat1
1987,ARLENE,TS
1987,BRET,TS
1987,CINDY,TS
1987,DENNIS,TS
1987,EMILY,Cat2
1987,FLOYD,TS
1988,ALBERTO,TD
1988,BERYL,TS
1988,CHRIS,TS
1988,DEBBY,TS
1988,ERNESTO,TS
1988,FLORENCE,TS
1988,GILBERT,Cat5
1988,HELENE,Cat3
1988,ISAAC,TS
1988,JOAN,Cat3
1988,KEITH,TS
1989,ALLISON,TS
1989,BARRY,TS
1989,CHANTAL,TS
1989,DEAN,Cat1
1989,ERIN,Cat1
1989,FELIX,Cat1
1989,GABRIELLE,Cat3
1989,HUGO,Cat4
1989,IRIS,TS
1989,JERRY,Cat1
1989,KAREN,TS
1990,ARTHUR,TS
1990,BERTHA,TS
1990,CESAR,TS
1990,EDOUARD,TS
1990,DIANA,Cat1
1990,FRAN,TD
1990,GUSTAV,Cat2
1990,HORTENSE,TS
1990,ISIDORE,Cat1
1990,JOSEPHINE,Cat1
1990,KLAUS,TS
1990,LILI,TS
1990,MARCO,TS
1990,NANA,Cat1
1991,ANA,TS
1991,BOB,Cat2
1991,CLAUDETTE,Cat3
1991,DANNY,TS
1991,ERIKA,TS
1991,FABIAN,TS
1991,GRACE,Cat1
1992,ANDREW,Cat4
1992,BONNIE,Cat1
1992,CHARLEY,Cat1
1992,DANIELLE,TS
1992,EARL,TS
1992,FRANCES,Cat1
1993,ARLENE,TD
1993,BRET,TS
1993,CINDY,TS
1993,EMILY,Cat2
1993,DENNIS,TS
1993,FLOYD,TS
1993,GERT,Cat1
1993,HARVEY,TS
1994,ALBERTO,TS
1994,BERYL,TS
1994,CHRIS,TS
1994,DEBBY,TS
1994,ERNESTO,TS
1994,FLORENCE,Cat1
1994,GORDON,Cat1
1995,ALLISON,TS
1995,BARRY,TS
1995,CHANTAL,TS
1995,DEAN,TS
1995,ERIN,Cat1
1995,FELIX,Cat3
1995,GABRIELLE,TS
1995,HUMBERTO,Cat1
1995,IRIS,Cat1
1995,JERRY,TD
1995,KAREN,TS
1995,LUIS,Cat4
1995,MARILYN,Cat2
1995,NOEL,TS
1995,OPAL,Cat4
1995,PABLO,TS
1995,ROXANNE,Cat2
1995,SEBASTIEN,TS
1995,TANYA,Cat1
1996,ARTHUR,TS
1996,BERTHA,Cat2
1996,CESAR,Cat1
1996,DOLLY,TS
1996,EDOUARD,Cat3
1996,FRAN,Cat2
1996,GUSTAV,TS
1996,HORTENSE,Cat3
1996,ISIDORE,Cat2
1996,JOSEPHINE,TS
1996,KYLE,TS
1996,LILI,Cat2
1996,MARCO,TS
1997,ANA,TS
1997,BILL,TS
1997,CLAUDETTE,TS
1997,DANNY,TS
1997,ERIKA,Cat2
1997,FABIAN,TS
1997,GRACE,TS
1998,ALEX,TS
1998,BONNIE,Cat2
1998,CHARLEY,TS
1998,DANIELLE,Cat1
1998,EARL,Cat1
1998,FRANCES,TS
1998,GEORGES,Cat4
1998,HERMINE,TS
1998,IVAN,Cat1
1998,JEANNE,Cat1
1998,KARL,Cat1
1998,LISA,TS
1998,MITCH,Cat4
1998,NICOLE,Cat1
1999,ARLENE,TS
1999,BRET,Cat3
1999,CINDY,Cat3
1999,DENNIS,Cat1
1999,EMILY,TS
1999,FLOYD,Cat4
1999,GERT,Cat4
1999,HARVEY,TS
1999,IRENE,Cat1
1999,JOSE,Cat1
1999,KATRINA,TD
1999,LENNY,Cat4
2000,ALBERTO,Cat2
2000,BERYL,TS
2000,CHRIS,TD
2000,DEBBY,Cat1
2000,ERNESTO,TD
2000,FLORENCE,TS
2000,GORDON,TS
2000,HELENE,TS
2000,ISAAC,Cat3
2000,JOYCE,Cat1
2000,KEITH,Cat3
2000,LESLIE,TS
2000,MICHAEL,Cat1
2000,NADINE,TS
2001,ALLISON,TS
2001,BARRY,TS
2001,CHANTAL,TS
2001,DEAN,TS
2001,ERIN,Cat2
2001,FELIX,Cat2
2001,GABRIELLE,TS
2001,HUMBERTO,Cat1
2001,IRIS,Cat3
2001,JERRY,TS
2001,KAREN,TS
2001,LORENZO,TD
2001,MICHELLE,Cat3
2001,NOEL,TS
2001,OLGA,Cat1
2002,ARTHUR,TS
2002,BERTHA,TD
2002,CRISTOBAL,TS
2002,DOLLY,TS
2002,EDOUARD,TS
2002,FAY,TS
2002,GUSTAV,Cat1
2002,HANNA,TS
2002,ISIDORE,Cat2
2002,JOSEPHINE,TS
2002,KYLE,Cat1
2002,LILI,Cat3
2003,ANA,TS
2003,BILL,TS
2003,CLAUDETTE,Cat1
2003,DANNY,TS
2003,ERIKA,TS
2003,FABIAN,Cat3
2003,GRACE,TD
2003,HENRI,TS
2003,ISABEL,Cat4
2003,JUAN,Cat1
2003,KATE,Cat2
2003,LARRY,TS
2003,MINDY,TS
2003,NICHOLAS,TS
2003,ODETTE,TS
2003,PETER,TS
