Year,Name,Cat,Start_date,End_date
1980,ALLEN,Cat5,1980-07-31T12,1980-08-11T18
1980,BONNIE,Cat1,1980-08-14T00,1980-08-19T18
1980,CHARLEY,TS,1980-08-20T12,1980-08-25T18
1980,GEORGES,TS,1980-09-01T00,1980-09-08T18
1980,EARL,TS,1980-09-04T12,1980-09-11T00
1980,DANIELLE,TS,1980-09-04T18,1980-09-07T12
1980,FRANCES,Cat2,1980-09-06T00,1980-09-21T00
1980,HERMINE,TS,1980-09-20T12,1980-09-26T00
1980,IVAN,Cat1,1980-10-01T00,1980-10-12T00
1980,JEANNE,Cat1,1980-11-07T18,1980-11-16T06
1980,KARL,Cat1,1980-11-25T00,1980-11-28T00
1981,ARLENE,TS,1981-05-06T18,1981-05-09T06
1981,BRET,TS,1981-06-29T12,1981-07-01T12
1981,CINDY,TS,1981-08-02T18,1981-08-05T12
1981,DENNIS,TS,1981-08-07T06,1981-08-22T00
1981,EMILY,Cat1,1981-08-31T12,1981-09-12T00
1981,FLOYD,Cat2,1981-09-03T12,1981-09-12T12
1981,GERT,Cat1,1981-09-07T00,1981-09-15T18
1981,HARVEY,Cat3,1981-09-11T18,1981-09-20T00
1981,IRENE,Cat2,1981-09-21T12,1981-10-03T06
1981,JOSE,TS,1981-10-29T12,1981-11-02T00
1981,KATRINA,Cat1,1981-11-03T00,1981-11-07T18
1982,ALBERTO,Cat1,1982-06-02T12,1982-06-06T12
1982,BERYL,TS,1982-08-28T12,1982-09-06T12
1982,CHRIS,TS,1982-09-09T00,1982-09-12T18
1982,DEBBY,Cat3,1982-09-13T12,1982-09-20T18
1982,ERNESTO,TS,1982-09-30T12,1982-10-03T00
1983,ALICIA,Cat2,1983-08-15T12,1983-08-21T06
1983,BARRY,TS,1983-08-23T18,1983-08-29T12
1983,CHANTAL,TS,1983-09-10T12,1983-09-15T06
1983,DEAN,TS,1983-09-26T18,1983-09-30T18
1984,ARTHUR,TS,1984-08-28T18,1984-09-05T18
1984,BERTHA,TD,1984-08-30T12,1984-09-04T18
1984,CESAR,TS,1984-08-31T00,1984-09-02T18
1984,DIANA,Cat3,1984-09-08T12,1984-09-16T06
1984,EDOUARD,TS,1984-09-14T00,1984-09-15T12
1984,FRAN,TS,1984-09-15T12,1984-09-20T12
1984,GUSTAV,TS,1984-09-16T18,1984-09-19T06
1984,HORTENSE,TS,1984-09-23T00,1984-10-02T18
1984,ISIDORE,TS,1984-09-25T12,1984-10-01T12
1984,JOSEPHINE,Cat1,1984-10-07T06,1984-10-21T00
1984,KLAUS,Cat1,1984-11-05T18,1984-11-13T18
1984,LILI,TS,1984-12-12T12,1984-12-24T12
1985,ANA,TS,1985-07-15T18,1985-07-19T12
1985,BOB,TS,1985-07-21T06,1985-07-26T00
1985,CLAUDETTE,Cat1,1985-08-09T18,1985-08-17T00
1985,DANNY,Cat1,1985-08-12T00,1985-08-20T18
1985,ELENA,Cat2,1985-08-28T00,1985-09-04T18
1985,FABIAN,TS,1985-09-15T18,1985-09-19T12
1985,GLORIA,Cat3,1985-09-16T12,1985-10-02T00
1985,HENRI,TS,1985-09-21T18,1985-09-25T00
1985,ISABEL,TS,1985-10-07T00,1985-10-15T12
1985,JUAN,Cat1,1985-10-26T00,1985-11-01T18
1985,KATE,Cat2,1985-11-15T18,1985-11-23T18
1986,ANDREW,TS,1986-06-05T00,1986-06-08T18
1986,BONNIE,Cat1,1986-06-23T18,1986-06-28T12
1986,CHARLEY,TS,1986-08-13T12,1986-08-30T00
1986,DANIELLE,TS,1986-09-07T06,1986-09-10T12
1986,EARL,Cat1,1986-09-10T18,1986-09-20T00
1986,FRANCES,Cat1,1986-11-18T18,1986-11-21T18
1987,ARLENE,TS,1987-08-08T00,1987-08-28T00
1987,BRET,TS,1987-08-18T00,1987-08-24T06
1987,CINDY,TS,1987-09-05T12,1987-09-10T18
1987,DENNIS,TS,1987-09-08T18,1987-09-20T18
1987,EMILY,Cat2,1987-09-20T00,1987-09-26T18
1987,FLOYD,TS,1987-10-09T06,1987-10-14T00
1988,ALBERTO,TD,1988-08-05T18,1988-08-08T18
1988,BERYL,TS,1988-08-08T00,1988-08-10T18
1988,CHRIS,TS,1988-08-21T12,1988-08-30T18
1988,DEBBY,TS,1988-08-31T18,1988-09-08T18
1988,ERNESTO,TS,1988-09-03T00,1988-09-05T00
1988,FLORENCE,TS,1988-09-07T06,1988-09-11T12
1988,GILBERT,Cat5,1988-09-08T18,1988-09-20T00
1988,HELENE,Cat3,1988-09-19T18,1988-09-30T12
1988,ISAAC,TS,1988-09-28T18,1988-10-01T12
1988,JOAN,Cat3,1988-10-10T18,1988-10-23T06
1988,KEITH,TS,1988-11-17T18,1988-11-26T18
1989,ALLISON,TS,1989-06-24T18,1989-07-01T12
1989,BARRY,TS,1989-07-09T18,1989-07-14T00
1989,CHANTAL,TS,1989-07-30T12,1989-08-03T00
1989,DEAN,Cat1,1989-07-31T06,1989-08-09T06
1989,ERIN,Cat1,1989-08-18T00,1989-08-27T00
1989,FELIX,Cat1,1989-08-26T00,1989-09-10T12
1989,GABRIELLE,Cat3,1989-08-30T12,1989-09-13T12
1989,HUGO,Cat4,1989-09-10T12,1989-09-25T12
1989,IRIS,TS,1989-09-16T18,1989-09-21T18
1989,JERRY,Cat1,1989-10-12T12,1989-10-16T18
1989,KAREN,TS,1989-11-28T12,1989-12-04T06
1990,ARTHUR,TS,1990-07-22T06,1990-07-27T12
1990,BERTHA,TS,1990-07-24T12,1990-08-02T12
1990,CESAR,TS,1990-07-31T00,1990-08-07T12
1990,EDOUARD,TS,1990-08-02T18,1990-08-13T12
1990,DIANA,Cat1,1990-08-04T00,1990-08-09T12
1990,FRAN,TD,1990-08-11T12,1990-08-14T12
1990,GUSTAV,Cat2,1990-08-24T06,1990-09-03T06
1990,HORTENSE,TS,1990-08-25T00,1990-08-31T06
1990,ISIDORE,Cat1,1990-09-04T00,1990-09-17T12
1990,JOSEPHINE,Cat1,1990-09-21T06,1990-10-06T12
1990,KLAUS,TS,1990-10-03T12,1990-10-09T12
1990,LILI,TS,1990-10-06T06,1990-10-15T12
1990,MARCO,TS,1990-10-09T12,1990-10-13T12
1990,NANA,Cat1,1990-10-16T00,1990-10-21T12
1991,ANA,TS,1991-06-29T12,1991-07-05T12
1991,BOB,Cat2,1991-08-16T00,1991-08-29T00
1991,CLAUDETTE,Cat3,1991-09-04T12,1991-09-14T18
1991,DANNY,TS,1991-09-07T00,1991-09-11T12
1991,ERIKA,TS,1991-09-08T18,1991-09-12T18
1991,FABIAN,TS,1991-10-15T00,1991-10-17T00
1991,GRACE,Cat1,1991-10-25T18,1991-10-29T18
1992,ANDREW,Cat4,1992-08-16T18,1992-08-28T06
1992,BONNIE,Cat1,1992-09-17T18,1992-10-02T18
1992,CHARLEY,Cat1,1992-09-21T18,1992-09-29T00
1992,DANIELLE,TS,1992-09-22T12,1992-09-26T12
1992,EARL,TS,1992-09-26T18,1992-10-03T18
1992,FRANCES,Cat1,1992-10-22T12,1992-10-30T00
1993,ARLENE,TD,1993-06-18T00,1993-06-21T06
1993,BRET,TS,1993-08-04T12,1993-08-11T12
1993,CINDY,TS,1993-08-14T12,1993-08-17T00
1993,EMILY,Cat2,1993-08-22T18,1993-09-06T12
1993,DENNIS,TS,1993-08-23T12,1993-08-28T12
1993,FLOYD,TS,1993-09-07T12,1993-09-13T00
1993,GERT,Cat1,1993-09-14T18,1993-09-21T18
1993,HARVEY,TS,1993-09-18T18,1993-09-21T18
1994,ALBERTO,TS,1994-06-30T06,1994-07-07T18
1994,BERYL,TS,1994-08-14T12,1994-08-19T00
1994,CHRIS,TS,1994-08-16T12,1994-08-23T18
1994,DEBBY,TS,1994-09-09T12,1994-09-11T00
1994,ERNESTO,TS,1994-09-21T18,1994-09-26T00
1994,FLORENCE,Cat1,1994-11-02T00,1994-11-08T18
1994,GORDON,Cat1,1994-11-08T12,1994-11-21T18
1995,ALLISON,TS,1995-06-03T00,1995-06-11T00
1995,BARRY,TS,1995-07-05T06,1995-07-10T06
1995,CHANTAL,TS,1995-07-12T00,1995-07-22T00
1995,DEAN,TS,1995-07-28T18,1995-08-02T18
1995,ERIN,Cat1,1995-07-31T00,1995-08-06T12
1995,FELIX,Cat3,1995-08-08T00,1995-08-25T00
1995,GABRIELLE,TS,1995-08-09T18,1995-08-12T00
1995,HUMBERTO,Cat1,1995-08-22T00,1995-09-01T00
1995,IRIS,Cat1,1995-08-22T12,1995-09-07T12
1995,JERRY,TD,1995-08-22T18,1995-08-28T00
1995,KAREN,TS,1995-08-26T12,1995-09-03T00
1995,LUIS,Cat4,1995-08-28T18,1995-09-12T18
1995,MARILYN,Cat2,1995-09-12T18,1995-10-01T18
1995,NOEL,TS,1995-09-26T18,1995-10-07T18
1995,OPAL,Cat4,1995-09-27T18,1995-10-06T18
1995,PABLO,TS,1995-10-04T18,1995-10-08T12
1995,ROXANNE,Cat2,1995-10-07T18,1995-10-21T00
1995,SEBASTIEN,TS,1995-10-20T12,1995-10-25T00
1995,TANYA,Cat1,1995-10-27T00,1995-11-03T00
1996,ARTHUR,TS,1996-06-17T18,1996-06-23T00
1996,BERTHA,Cat2,1996-07-05T00,1996-07-17T06
1996,CESAR,Cat1,1996-07-24T18,1996-07-28T18
1996,DOLLY,TS,1996-08-19T06,1996-08-25T00
1996,EDOUARD,Cat3,1996-08-19T18,1996-09-06T18
1996,FRAN,Cat2,1996-08-23T12,1996-09-10T00
1996,GUSTAV,TS,1996-08-26T00,1996-09-02T00
1996,HORTENSE,Cat3,1996-09-03T12,1996-09-16T06
